'n';;;'mult_big_vector_hot_201_101';;;'mult_big_vector_no_out_hot_201_101';;;'mult_big_vector_hot_64_32';;;'mult_big_vector_no_out_hot_64_32'
'16'; 101.95; 96.08; 107.82; 67.78; 61.56; 74.01; 2.58373; 2.12; 3.05; 8.28015; 7.12; 9.44
'32'; 103.40; 93.86; 112.94; 69.21; 65.20; 73.22; 2.77122; 2.44; 3.10; 8.42064; 7.42; 9.42
'64'; 103.26; 98.49; 108.04; 70.41; 63.98; 76.84; 2.69391; 2.27; 3.12; 8.50984; 7.70; 9.32
'128'; 103.87; 95.79; 111.94; 69.42; 65.16; 73.68; 2.69058; 2.36; 3.02; 8.46755; 8.06; 8.87
'256'; 108.68; 84.14; 133.23; 70.90; 61.63; 80.17; 2.71297; 2.42; 3.01; 8.57265; 8.00; 9.15
'512'; 105.51; 96.14; 114.88; 70.73; 63.85; 77.61; 2.76892; 2.57; 2.97; 8.80321; 8.45; 9.16
'1,024'; 104.87; 97.71; 112.04; 69.54; 66.20; 72.89; 2.83956; 2.71; 2.97; 8.70670; 8.48; 8.93
'2,048'; 104.03; 100.01; 108.05; 69.66; 66.78; 72.53; 2.89042; 2.70; 3.08; 8.74056; 8.61; 8.87
'4,096'; 102.94; 100.50; 105.38; 70.59; 68.69; 72.48; 2.84090; 2.73; 2.95; 8.74903; 8.68; 8.82
'8,192'; 102.57; 101.37; 103.77; 69.11; 67.77; 70.45; 2.84246; 2.80; 2.89; 8.73745; 8.62; 8.85
